ID,Hospital_name,Hospital_Address,Hospital_Parking,Hospital_Tel,Hospital_location_lat,Hospital_location_lng
H0000000000000000001,黃志維耳鼻喉科診所,高雄市三民區建工路608號,是,(07)394-7605,22.6494986,120.3232228
H0000000000000000002,奇美醫學中心,台南縣永康市中華路901號,否,06-2517623,23.0209835,120.2220415
H0000000000000000003,振興醫院,台北市112北投區振興街45號,是,(02)2826-4400轉3068,25.117512,121.5224672
H0000000000000000004,止鼾王國牙醫,高市左營區重化街1號,是,(07)3509966,22.6747103,120.3083686
H0000000000000000005,高雄榮民總醫院,高雄市左營區大中一路386號,是,NA,22.6797767,120.3223911
H0000000000000000006,喜洋洋心靈診所,高雄市新興區文橫二路169號,是,07-221-3924,22.6234931,120.3033399
H0000000000000000007,澎湖上明眼科,澎湖縣馬公市陽明路41號,是,(06)9265488,23.572808,119.5745445
H0000000000000000008,台北視光中心,台北市民權西路79號,是,(02)2594-8755,25.0630644,121.5194481
H0000000000000000009,國防醫學院三軍總醫院,台北市內湖區成功路二段325號,是,(02)8792-3311(代表號),25.0712818,121.5910458
H0000000000000000010,天佑眼科,台北縣永和市福和路106號,是,02-89255985,25.0080887,121.5221883
H0000000000000000011,板橋高端眼科,新北市板橋區館前東路96號,是,02-89522180,25.0074355,121.4625257
H0000000000000000012,台北醫學大學,台北市信義區吳興街252號,是,(02)2737-2181,25.0267923,121.5635584
H0000000000000000013,達人診所,台北市中山北路三段45號,是,(02)2586-9988,25.0665393,121.5224894
H0000000000000000014,高雄長庚醫院,高雄縣鳥松鄉大埤路123號,是,(07)7317123-2533,22.6556364,120.3572265
H0000000000000000015,林口長庚紀念醫院,桃園縣龜山鄉復興街5號,是,（03）328-1200,25.061872,121.3676574
H0000000000000000016,彰化基督教醫院,彰化市南校街135號,是,04-7238595,24.0711417,120.5446819
H0000000000000000017,天主教耕莘醫院,新店市231中正路362號,是,(02)2219-5028,24.976293,121.5357523
